,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,
Headquarters,EPA-HQ-2017-006377,N,20,,,,20-Apr-17,,21-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,20-Apr-17,20-Apr-17,0,Not Billable,
Office of Pesticide Programs,EPA-HQ-2017-006379,N,20,,,,20-Apr-17,24-Apr-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006386,N,20,,,,20-Apr-17,9-May-17,,,Complex,,,,,,,,,,,,, ,20-Apr-17,3-May-17,12,Full Grant,
Headquarters,EPA-HQ-2017-006397,N,20,,,,20-Apr-17,,24-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,20-Apr-17,21-Apr-17,0,Not Billable,
Headquarters,EPA-HQ-2017-006398,N,20,,,,20-Apr-17,,24-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,20-Apr-17,21-Apr-17,0,Not Billable,
Headquarters,EPA-HQ-2017-006399,N,20,,,,21-Apr-17,,24-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,21-Apr-17,21-Apr-17,0,Not Billable,
Office of the Inspector General,EPA-HQ-2017-006407,N,20,,,,21-Apr-17,21-Apr-17,15-May-17,,Simple,Full denial based on exemptions, ,Ex. 7(C),,,,,,,,,, ,21-Apr-17,15-May-17,24,Not Billable,
OARM/RTP,EPA-HQ-2017-006417,N,20,,,,21-Apr-17,25-Apr-17,3-May-17,,Simple,Full grant, ,,,,,,,,25-Apr-17,3-May-17,8,Withdrawn by Requester,21-Apr-17,3-May-17,11,Withdrawn by Requester,
Office of Administration,EPA-HQ-2017-006418,N,20,,,,21-Apr-17,25-Apr-17,19-May-17,,Simple,Full grant, ,,,,,,,,21-Apr-17,17-May-17,25,Deny,21-Apr-17,17-May-17,25,Full Grant,
Office of Transportation and Air Quality,EPA-HQ-2017-006421,N,20,,,,21-Apr-17,8-May-17,,,Simple,,,,,,,,,,,,, ,21-Apr-17,3-May-17,11,Not Billable,
OGC,EPA-HQ-2017-006425,N,,,,,,,,,Simple,,,,21-Apr-17,27-Apr-17,Closed for other reasons,Other,Moot,,,,, ,,,, ,
Water Permits Division,EPA-HQ-2017-006427,N,20,,,,21-Apr-17,25-Apr-17,,,Simple,,,,,,,,,,,,, ,21-Apr-17,2-May-17,10,Deny,
Office of Site Remediation,EPA-HQ-2017-006434,N,20,,,,21-Apr-17,24-Apr-17,2-May-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Office of Emergency Management,EPA-HQ-2017-006435,N,20,,,,21-Apr-17,24-Apr-17,24-May-17,1,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-006438,N,20,,,,21-Apr-17,,25-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,21-Apr-17,24-Apr-17,2,Not Billable,
Office of the Administrator,EPA-HQ-2017-006442,N,20,,,,21-Apr-17,,10-May-17,,Simple,Improper FOIA request for other reason, ,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-006443,N,20,,,,22-Apr-17,,25-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,22-Apr-17,24-Apr-17,2,Not Billable,
Office of the Administrator,EPA-HQ-2017-006444,N,20,,,,22-Apr-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-006447,N,20,,,,23-Apr-17,,25-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,23-Apr-17,24-Apr-17,1,Not Billable,
Headquarters,EPA-HQ-2017-006449,N,20,,,,23-Apr-17,,25-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,23-Apr-17,24-Apr-17,0,Not Billable,
Office of the Administrator,EPA-HQ-2017-006450,N,20,,,,23-Apr-17,9-Aug-17,,,Complex,,,,,,,,,,,,, ,23-Apr-17,3-May-17,9,Deny,
Headquarters,EPA-HQ-2017-006451,N,20,,,,23-Apr-17,,25-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,23-Apr-17,24-Apr-17,0,Not Billable,
Headquarters,EPA-HQ-2017-006457,N,20,,,,24-Apr-17,,25-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,24-Apr-17,24-Apr-17,0,Not Billable,
Headquarters,EPA-HQ-2017-006459,N,20,,,,24-Apr-17,,25-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,24-Apr-17,24-Apr-17,0,Not Billable,
Office of Transportation and Air Quality,EPA-HQ-2017-006463,N,20,,,,21-Apr-17,24-Apr-17,1-Jun-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Office of Information Management,EPA-HQ-2017-006464,N,20,,,,24-Apr-17,24-Apr-17,22-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-006467,N,20,,,,24-Apr-17,25-Apr-17,4-May-17,,Complex,Full grant, ,,,,,,,,,,, ,24-Apr-17,3-May-17,8,Not Billable,
Office of Information Technology Operations,EPA-HQ-2017-006474,N,30,,,,24-Apr-17,24-Apr-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-006475,N,20,,,,24-Apr-17,24-Apr-17,4-May-17,,Complex,Full grant, ,,,,,,,,,,, ,24-Apr-17,3-May-17,8,Not Billable,
Office of the Administrator,EPA-HQ-2017-006484,N,20,,,,24-Apr-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,24-Apr-17,3-May-17,8,Full Grant,
Office of Civil Enforcement,EPA-HQ-2017-006485,N,30,,,,24-Apr-17,26-Apr-17,8-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,24-Apr-17,4-May-17,9,Full Grant,
Office of Public Affairs,EPA-HQ-2017-006487,N,20,,,,24-Apr-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,24-Apr-17,3-May-17,8,Full Grant,
Office of Pesticide Programs,EPA-HQ-2017-006488,N,20,,,,24-Apr-17,24-Apr-17,22-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2017-006511,N,20,,,,24-Apr-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,24-Apr-17,12-May-17,17,Not Billable,
Headquarters,EPA-HQ-2017-006513,N,20,,,,24-Apr-17,,26-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,24-Apr-17,25-Apr-17,0,Not Billable,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2017-006517,N,20,,,,25-Apr-17,27-Apr-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-006539,N,20,,,,25-Apr-17,,12-May-17,,Simple,Improper FOIA request for other reason, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-006540,N,20,,,,25-Apr-17,26-Apr-17,28-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006542,N,20,,,,25-Apr-17,9-Aug-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Public Affairs,EPA-HQ-2017-006551,N,30,,,,25-Apr-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,25-Apr-17,4-May-17,8,Full Grant,
Office of Pesticide Programs,EPA-HQ-2017-006556,N,20,,,,25-Apr-17,1-May-17,4-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Human Resources,EPA-HQ-2017-006560,N,20,,,,25-Apr-17,27-Apr-17,5-Jun-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-006561,N,20,,,,25-Apr-17,,11-May-17,,Simple,Records not reasonably described, ,,,,,,,,25-Apr-17,26-Apr-17,1,Deny,25-Apr-17,26-Apr-17,1,Deny,
Office of Acquisition Management,EPA-HQ-2017-006562,N,30,,,,25-Apr-17,26-Apr-17,31-Aug-17,,Complex,Partial grant/partial denial, ,Ex. 4,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-006563,N,20,,,,25-Apr-17,,27-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,25-Apr-17,26-Apr-17,0,Not Billable,
Office of Pesticide Programs,EPA-HQ-2017-006571,N,20,,,,26-Apr-17,26-Apr-17,5-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-006572,N,20,,,,26-Apr-17,26-Apr-17,31-Aug-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Water Permits Division,EPA-HQ-2017-006573,N,20,,,,26-Apr-17,27-Apr-17,18-May-17,,Complex,Partial grant/partial denial, ,,,,,,,,26-Apr-17,16-May-17,19,Withdrawn by Requester,26-Apr-17,16-May-17,19,Withdrawn by Requester,
Office of Environmental Information,EPA-HQ-2017-006584,N,20,,,,25-Apr-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
OGC Law Groups-Ethics Office,EPA-HQ-2017-006585,N,20,,,,26-Apr-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,26-Apr-17,4-May-17,7,Full Grant,
OGC Law Groups-Ethics Office,EPA-HQ-2017-006586,N,20,,,,26-Apr-17,26-Apr-17,6-May-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-006587,N,20,,,,26-Apr-17,26-Apr-17,28-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006588,N,20,,,,26-Apr-17,27-Apr-17,,,Simple,,,,,,,,,,,,, ,26-Apr-17,2-May-17,5,Not Billable,
Office of Radiation and Indoor Air,EPA-HQ-2017-006593,N,20,,,,26-Apr-17,,17-May-17,,Simple,Improper FOIA request for other reason, ,,,,,,,,,,, ,,,, ,
Office of Technology Solutions,EPA-HQ-2017-006595,N,20,,,,26-Apr-17,26-Apr-17,16-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Civil Enforcement,EPA-HQ-2017-006596,N,20,,,,25-Apr-17,27-Apr-17,10-May-17,,Simple,Duplicate request, ,,,,,,,,27-Apr-17,4-May-17,7,Deny,25-Apr-17,4-May-17,9,Full Grant,
Office of Atmospheric Programs,EPA-HQ-2017-006604,N,20,,,,26-Apr-17,21-Jun-17,,,Complex,,,,,,,,,,,,, ,26-Apr-17,3-May-17,6,Full Grant,
Office of the Administrator,EPA-HQ-2017-006607,N,20,,,,26-Apr-17,10-May-17,10-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
"Office of Criminal Enforcement, Forensics, and Training",EPA-HQ-2017-006611,N,20,,,,26-Apr-17,27-Apr-17,6-Jun-17,,Simple,No records, ,,,,,,,,26-Apr-17,10-May-17,13,Deny,26-Apr-17,10-May-17,13,Deny,
Office of the Administrator,EPA-HQ-2017-006614,N,20,,,,26-Apr-17,9-Aug-17,,,Simple,,,,,,,,,,26-Apr-17,4-May-17,7,Deny,26-Apr-17,4-May-17,7,Full Grant,
Office of the Administrator,EPA-HQ-2017-006618,N,20,,,,26-Apr-17,9-Aug-17,,,Expedited,,,,,,,,,,26-Apr-17,16-May-17,19,Grant,26-Apr-17,15-May-17,18,Full Grant,
OGC,EPA-HQ-2017-006619,N,,,,,,,,,Simple,,,,26-Apr-17,23-May-17,Closed for other reasons,Other,Moot,,,,, ,,,, ,
OGC,EPA-HQ-2017-006622,N,,,,,,,,,Simple,,,,27-Apr-17,12-Jul-17,Affirmed on Appeal,No records, ,,,,, ,,,, ,
OGC,EPA-HQ-2017-006627,N,,,,,,,,,Simple,,,,27-Apr-17,12-Jul-17,Partially affirmed &amp; partially reversed/remanded,Records not reasonably described, ,,,,, ,,,, ,
OGC,EPA-HQ-2017-006628,N,,,,,,,,,Simple,,,,27-Apr-17,30-Jun-17,Closed for other reasons,Other,Moot,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006629,N,20,,,,27-Apr-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006633,N,20,,,,27-Apr-17,27-Apr-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-006635,N,20,,,,27-Apr-17,1-May-17,,,Simple,,,,,,,,,,,,, ,27-Apr-17,9-May-17,11,Full Grant,
Office of Public Affairs,EPA-HQ-2017-006636,N,20,,,,27-Apr-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,27-Apr-17,2-May-17,4,Not Billable,
Office of the Administrator,EPA-HQ-2017-006639,N,20,,,,27-Apr-17,28-Apr-17,5-Jun-17,,Simple,Partial grant/partial denial, ,"Ex. 7(A), Ex. 7(C), Ex. 7(F)",,,,,,,,,, ,,,, ,
OGC,EPA-HQ-2017-006643,N,,(CLOB) 41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),(CLOB) Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.,"(CLOB) Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin V. NASA, No 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep&amp;apos;t of the Interior, 305 F. Supp. 2d 21, 30 (D. D. C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D. C. Cir. Aug. 25, 2004)",,,,,Simple,,,,27-Apr-17,14-Dec-17,Affirmed on Appeal,, ,"Ex. 3, Ex. 4, Ex. 5, Ex. 6",,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006645,N,20,,,,27-Apr-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,27-Apr-17,2-May-17,4,Not Billable,
Office of the Administrator,EPA-HQ-2017-006646,N,20,,,,27-Apr-17,9-Aug-17,,,Complex,,,,,,,,,,27-Apr-17,4-May-17,6,Deny,27-Apr-17,4-May-17,6,Full Grant,
Headquarters,EPA-HQ-2017-006649,N,20,,,,28-Apr-17,,28-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,28-Apr-17,28-Apr-17,0,Not Billable,
Office of Enforcement and Compliance Assurance,EPA-HQ-2017-006652,N,20,,,,27-Apr-17,23-May-17,,,Simple,,,,,,,,,,27-Apr-17,9-May-17,12,Deny,27-Apr-17,9-May-17,12,Full Grant,
OGC,EPA-HQ-2017-006653,N,,,,,,,,,Simple,,,,28-Apr-17,,,,,,,,, ,,,, ,
OGC Law Groups- Immediate Office,EPA-HQ-2017-006656,N,20,,,,28-Apr-17,16-May-17,,,Complex,,,,,,,,,,,,, ,28-Apr-17,10-May-17,11,Full Grant,
Headquarters,EPA-HQ-2017-006659,N,20,,,,28-Apr-17,24-May-17,24-May-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006660,N,20,,,,28-Apr-17,,27-Jul-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006661,N,20,,,,28-Apr-17,,27-Jul-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-006662,N,20,,,,28-Apr-17,1-May-17,25-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Research and Development,EPA-HQ-2017-006674,N,30,,,,28-Apr-17,5-Jul-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006676,N,20,,,,28-Apr-17,9-Aug-17,,,Complex,,,,,,,,,,,,, ,,,, ,
OARM/CINC,EPA-HQ-2017-006678,N,20,,,,28-Apr-17,1-May-17,5-Jun-17,,Simple,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2017-006680,N,30,,,,28-Apr-17,2-May-17,16-Aug-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006683,N,20,,,,28-Apr-17,1-May-17,,,Complex,,,,,,,,,,,,, ,1-May-17,10-May-17,9,Deny,
Headquarters,EPA-HQ-2017-006685,N,20,,,,29-Apr-17,,3-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,29-Apr-17,2-May-17,3,Not Billable,
Headquarters,EPA-HQ-2017-006687,N,20,,,,29-Apr-17,,3-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,29-Apr-17,2-May-17,3,Not Billable,
Office of Air and Radiation,EPA-HQ-2017-006689,N,20,,,,29-Apr-17,3-May-17,24-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-006691,N,20,,,,29-Apr-17,,3-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,29-Apr-17,2-May-17,2,Not Billable,
Office of the Administrator,EPA-HQ-2017-006692,N,20,,,,29-Apr-17,9-Aug-17,,,Simple,,,,,,,,,,29-Apr-17,4-May-17,4,Deny,29-Apr-17,4-May-17,4,Deny,
Office of Public Affairs,EPA-HQ-2017-006694,N,30,,,,30-Apr-17,7-Jul-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-006695,N,20,,,,30-Apr-17,,3-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,30-Apr-17,2-May-17,1,Not Billable,
Headquarters,EPA-HQ-2017-006696,N,20,,,,30-Apr-17,,3-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,30-Apr-17,2-May-17,1,Not Billable,
Office of Public Affairs,EPA-HQ-2017-006697,N,30,,,,30-Apr-17,9-Aug-17,,,Complex,,,,,,,,,,30-Apr-17,10-May-17,9,Deny,30-Apr-17,10-May-17,9,Deny,
Office of the Administrator,EPA-HQ-2017-006698,N,20,,,,1-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,1-May-17,10-May-17,9,Deny,
Headquarters,EPA-HQ-2017-006699,N,20,,,,1-May-17,,3-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,1-May-17,2-May-17,0,Not Billable,
Office of the Administrator,EPA-HQ-2017-006704,N,20,,,,1-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,1-May-17,2-May-17,0,Not Billable,
Office of the Administrator,EPA-HQ-2017-006706,N,20,,,,1-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,1-May-17,10-May-17,8,Full Grant,
Headquarters,EPA-HQ-2017-006708,N,20,,,,1-May-17,1-May-17,4-May-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
"Office of Criminal Enforcement, Forensics, and Training",EPA-HQ-2017-006710,N,20,,,,1-May-17,1-May-17,16-May-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2017-006713,N,,,,,,,,,Simple,,,,1-May-17,7-Jul-17,Closed for other reasons,Duplicate request or appeal, ,,,,, ,,,, ,
External Civil Rights Compliance Office,EPA-HQ-2017-006714,N,20,,,,1-May-17,30-May-17,19-Jun-17,,Expedited,Partial grant/partial denial, ,Ex. 6,,,,,,,1-May-17,10-May-17,8,Grant,1-May-17,10-May-17,8,Full Grant,
External Civil Rights Compliance Office,EPA-HQ-2017-006717,N,20,,,,1-May-17,30-May-17,19-Jun-17,,Expedited,Partial grant/partial denial, ,Ex. 6,,,,,,,1-May-17,2-May-17,0,Grant,1-May-17,2-May-17,0,Not Billable,
Office of Administration and Resources Management,EPA-HQ-2017-006718,N,20,,,,1-May-17,,7-Jun-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,1-May-17,11-May-17,9,Full Grant,
External Civil Rights Compliance Office,EPA-HQ-2017-006719,N,20,,,,1-May-17,30-May-17,19-Jun-17,,Expedited,Partial grant/partial denial, ,"Ex. 6, Ex. 7(A)",,,,,,,1-May-17,10-May-17,8,Grant,1-May-17,10-May-17,8,Full Grant,
Office of the Administrator,EPA-HQ-2017-006723,N,20,,,,1-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,1-May-17,2-May-17,0,Not Billable,
Office of the Administrator,EPA-HQ-2017-006724,N,20,,,,1-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,1-May-17,10-May-17,8,Full Grant,
Office of the Administrator,EPA-HQ-2017-006726,N,20,,,,1-May-17,,,,Simple,,,,,,,,,,1-May-17,9-May-17,7,Deny,1-May-17,9-May-17,7,Full Grant,
Immediate Office,EPA-HQ-2017-006735,N,20,,,,1-May-17,2-May-17,25-May-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-006739,N,20,,,,1-May-17,9-May-17,17-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006740,N,20,,,,1-May-17,15-May-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Brownfields and Land Revitalization,EPA-HQ-2017-006750,N,20,,,,1-May-17,12-May-17,21-Jun-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Office of Civil Enforcement,EPA-HQ-2017-006751,N,30,,,,1-May-17,2-May-17,9-Jun-17,,Simple,Full denial based on exemptions, ,Ex. 5,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006752,N,20,,,,1-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,1-May-17,10-May-17,8,Full Grant,
Headquarters,EPA-HQ-2017-006753,N,20,,,,2-May-17,,3-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,2-May-17,2-May-17,0,Not Billable,
Office of the Administrator,EPA-HQ-2017-006754,N,20,,,,2-May-17,9-Aug-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006756,N,20,,,,2-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
External Civil Rights Compliance Office,EPA-HQ-2017-006758,N,20,,,,2-May-17,30-May-17,19-Jun-17,,Simple,Partial grant/partial denial, ,Ex. 6,,,,,,,2-May-17,9-May-17,6,Deny,2-May-17,9-May-17,6,Full Grant,
Office of Transportation and Air Quality,EPA-HQ-2017-006760,N,20,,,,2-May-17,11-May-17,28-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006767,N,20,,,,2-May-17,3-May-17,,,Simple,,,,,,,,,,,,, ,2-May-17,3-May-17,0,Full Grant,
OGC,EPA-HQ-2017-006770,N,,,,,,,,,Simple,,,,2-May-17,20-Nov-17,Completely reversed/remanded,, ,,,,, ,,,, ,
Office of Public Affairs,EPA-HQ-2017-006771,N,30,,,,2-May-17,7-Jul-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of Public Affairs,EPA-HQ-2017-006774,N,30,,,,2-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2017-006777,N,20,,,,2-May-17,3-May-17,17-Aug-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2017-006779,N,20,,,,2-May-17,2-May-17,14-Sep-17,8,Simple,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Office of Information Management,EPA-HQ-2017-006781,N,30,,,,2-May-17,18-May-17,,,Complex,,,,,,,,,,,,, ,2-May-17,12-May-17,9,Not Billable,
Headquarters,EPA-HQ-2017-006784,N,20,,,,2-May-17,3-May-17,3-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Information Management,EPA-HQ-2017-006788,N,20,,,,2-May-17,18-May-17,,92,Simple,,,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006791,N,20,,,,2-May-17,4-May-17,,,Simple,,,,,,,,,,,,, ,2-May-17,4-May-17,2,Not Billable,
OGC Law Groups Air and Radiation Law Office,EPA-HQ-2017-006797,N,20,,,,2-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,2-May-17,15-May-17,13,Full Grant,
Office of the Administrator,EPA-HQ-2017-006800,N,20,,,,2-May-17,2-May-17,4-May-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Office of Administration and Resources Management,EPA-HQ-2017-006801,N,30,,,,2-May-17,3-May-17,12-Jun-17,,Simple,Full grant, ,,,,,,,,,,, ,2-May-17,11-May-17,8,Full Grant,
Headquarters,EPA-HQ-2017-006803,N,20,,,,3-May-17,,4-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,3-May-17,3-May-17,0,Not Billable,
OGC,EPA-HQ-2017-006804,N,,,,,,,,,Simple,,,,3-May-17,19-May-17,Closed for other reasons,Other,Moot,,,,, ,,,, ,
OGC,EPA-HQ-2017-006805,N,,,,,,,,,Simple,,,,3-May-17,15-May-17,Closed for other reasons,Duplicate request or appeal, ,,,,, ,,,, ,
OGC,EPA-HQ-2017-006808,N,,,,,,,,,Simple,,,,3-May-17,15-Jun-17,Completely reversed/remanded,, ,,,,, ,,,, ,
OGC,EPA-HQ-2017-006810,N,,,,,,,,,Simple,,,,3-May-17,22-May-17,Closed for other reasons,Other,Moot,,,,, ,,,, ,
Office of Ground Water and Drinking Water,EPA-HQ-2017-006812,N,20,,,,3-May-17,3-May-17,16-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2017-006816,N,,,,,,,,,Simple,,,,3-May-17,7-Jul-17,Affirmed on Appeal,, ,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006818,N,20,,,,3-May-17,4-May-17,,,Simple,,,,,,,,,,,,, ,3-May-17,15-May-17,11,Full Grant,
Office of Public Affairs,EPA-HQ-2017-006821,N,30,,,,3-May-17,7-Jul-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-006832,N,20,,,,3-May-17,16-May-17,1-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Superfund Remediation and Technology Innovation,EPA-HQ-2017-006834,N,20,,,,3-May-17,8-May-17,,97,Simple,, ,,,,,,,,,,, ,,,, ,
Office of Air and Radiation,EPA-HQ-2017-006835,N,30,,,,3-May-17,8-May-17,14-Aug-17,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6",,,,,,,,,, ,3-May-17,16-May-17,12,Full Grant,
Office of Public Affairs,EPA-HQ-2017-006836,N,20,,,,3-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,3-May-17,12-May-17,8,Full Grant,
Immediate Office,EPA-HQ-2017-006839,N,20,,,,3-May-17,10-May-17,25-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2017-006840,N,20,,,,3-May-17,4-May-17,8-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006845,N,20,,,,3-May-17,8-Jun-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Headquarters,EPA-HQ-2017-006847,N,20,,,,3-May-17,,8-May-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,3-May-17,4-May-17,0,Not Billable,
National Program Chemical Division,EPA-HQ-2017-006859,N,20,,,,4-May-17,25-May-17,26-Jun-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2017-006873,N,20,,,,4-May-17,9-Aug-17,,,Simple,,,,,,,,,,,,, ,,,, ,
