,City,Country,Distance,Fax,FridayHours,Latitude,Longitude,MondayHours,Name,Phone,SaturdayHours,Services,State,Street,SundayHours,ThursdayHours,TuesdayHours,Website,WednesdayHours,ZipCode
445,Thomasville,United States,0,(229) 226-0514,Closed,30.841157,-83.980833,9am-5pm,First Option Care,(229) 226-0510,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",GA,320 N. Crawford St.,Closed,9am-5pm,9am-5pm,http://www.1stoption.care,9am-5pm,31792
446,Tifton,United States,0,,Closed,31.460019,-83.509055,10am-5pm,"Pregnancy Care Center of Tiftarea, Inc.",(229) 848-6778,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, Ultrasound (Onsite)",GA,104 W. 8th St. Bldg. 2,Closed,11am-2pm,2pm-5pm,http://www.firstchoicetift.com,10am-5pm,31794
447,Valdosta,United States,0,(229) 247-4957,9am-4pm,30.857000,-83.292300,9am-6pm,Options Now,(229) 506-5017,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, Ultrasound (Onsite)",GA,214 W Park Av,Closed,9am-6pm,9am-6pm,http://www.optionsnow.org,9am-6pm,31602
448,Vidalia,United States,0,(912) 538-0792,Closed,32.208187,-82.389574,Closed,First Choice Georgia Pregnancy Clinic,(912) 538-0762,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite)",GA,1804 Seminole Drive,Closed,10am-6pm,10am-6pm,https://www.firstchoicepregnancyclinic.com/,10am-2pm,30474
449,Winder,United States,0,,Closed,33.996981,-83.724659,10am-5pm,Come Alive Ministries,(770) 867-3000,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound Referrals",GA,127 W Candler St,Closed,10am-5pm,10am-5pm,http://www.come-alive.org,10am-5pm,30680
450,Woodstock,United States,0,,Closed,34.083533,-84.540321,10am-5pm,"The HOPE Center, Inc.",(770) 924-0864,10am-2pm,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Mobile), Ultrasound (Onsite), Ultrasound Referrals",GA,"295 Molly Lane, Ste 120",Closed,10am-5pm,10am-8pm,http://hopectr.com,10am-5pm,30189
451,Wailuku,United States,0,,Closed,20.889772,-156.500190,9am-5pm,Malama Pregnancy Center of Maui,(808) 280-5810,9am-1pm,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",HI,64 Central Ave.,Closed,9am-5pm,9am-5pm,http://www.mpcmaui.org,Closed,96793
452,Waipahu,United States,0,,11am-4:30pm,21.412121,-157.998562,Closed,A Place for Women in Waipio,(808) 678-3991,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",HI,94-1044 Waipio Uka St,Closed,11am-4:30pm,11am-4:30pm,http://oahupregnancycenter.com,11am-4:30pm,96797
453,Caldwell,United States,0,(208) 466-2689,Closed,43.665622,-116.692506,1pm-4pm,Lifeline- Caldwell Center,(208) 466-4000,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Pregnancy Options Information, Pregnancy Tests, STD/STI Information",ID,"524 Cleveland Blvd, Ste. 110",Closed,Closed,Closed,http://lifelinepcc.org,Closed,83605
454,Coeur d'Alene,United States,0,,,47.691973,-116.791180,,"Open Arms PCC and Real Choices Clinic, Inc. (HB)",208-667-5433,,"Pregnancy Tests, Ultrasound (Onsite)",ID,1800 Lincoln Way Suite 201,,,,,,83814
455,Grangeville,United States,0,,,45.926562,-116.121581,,Hope Center (HB),208-983-0093,,Pregnancy Tests,ID,111 N College St,,,,,,83530
456,Kamiah,United States,0,,,46.228042,-116.029708,,Hope Center Kamiah (HB),208-935-0376,,Pregnancy Tests,ID,404 Hill St,,,,,,83536
457,Kellogg,United States,0,,,47.542588,-116.125212,,Hope Pregnancy Resource Center (HB),208-784-0333,,Pregnancy Tests,ID,404 W Cameron Ave,,,,,,83837
458,Lewiston,United States,0,,,46.419246,-117.024206,,Reliance Ministries Inc. (HB),208-790-5020,,"Pregnancy Tests, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",ID,"102 New 6th St, Mezzanine 2nd floor",,,,,,83501
459,Lewiston,United States,0,,Closed,46.408079,-117.002639,10am-4pm,Life Choices Clinic,(208) 746-9704,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",ID,2020 12th Ave,Closed,10am-4pm,10am-4pm,http://lifechoicesclinic.info,10am-4pm,83501
460,Lewiston,United States,0,,9:30-5:30,46.420242,-117.023349,closed,Reliance Center,(208) 298-4575,closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Mobile), Ultrasound (Onsite), Ultrasound Referrals",ID,102 New 6th Street,closed,closed,9:30-5:30,http://www.reliancecenter.org,closed,83501
461,Moscow,United States,0,,Closed,46.735390,-117.023967,10am-5pm,WISH Medical,(208) 892-9474,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",ID,1515 West A St,Closed,10am-5pm,10am-5pm,http://www.wishmedical.com,10am-5pm,83843
462,Nampa,United States,0,,Closed,43.569269,-116.572633,1pm-4pm,Lifeline Pregnancy Care Center,(208) 466-4000,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",ID,1323 12th Ave. South,Closed,1pm-4pm,1pm-4pm,http://www.lifelinepcc.org,11am-2pm,83651
463,Pocatello,United States,0,,Closed,42.863504,-112.432972,3pm-8pm,Compassion and Hope Pregnancy Center,(208) 478-4673,Closed,"Abortion Information, Adoption Agency, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound Referrals",ID,"845 South 9th St, Suite B",Closed,12pm-5pm,Closed,http://www.pocatellopregnancycenter.com,12pm-5pm,83209
464,Sandpoint,United States,0,,Closed,48.277183,-116.548736,12pm-4pm,Life Choices Pregnancy Center,(208) 263-7621,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Mobile), Ultrasound (Onsite)",ID,502 N. 2nd Ave,Closed,12pm-4pm,12pm-4pm,http://www.lifechoicespc.org,12pm-4pm,83864
465,Aurora,United States,0,,9am-4pm,41.761584,-88.323596,9am-4pm,Pregnancy Information Center,(630) 896-8600,By Appointment,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",IL,411 West Galena Blvd.,Closed,9am-6:30pm,9am-6:30pm,http://www.rupregnant.com,9am-4pm,60506
466,Aurora,United States,0,,,41.761062,-88.227899,,Waterleaf Women's Center (HB),630-701-6270,,"Pregnancy Tests, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",IL,3598 E New York St,,,,,,60504
467,Bradley,United States,0,,,41.143806,-87.862802,,River Valley Pregnancy Resource Ctr (HB),815-802-9917,,Pregnancy Tests,IL,200 N Washington Ave,,,,,,60915
468,Canton,United States,0,,Closed,40.557739,-90.034770,11am-7pm,Spoon River Pregnancy Resource Center,(309) 435-7130,By Appointment,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite)",IL,121 N Main St,Closed,9am-5pm,Closed,http://spoonriverpregnancycenter.com/,9am-5pm,61520
469,Casey,United States,0,,,39.303809,-87.997832,,Choices Pregnancy & Health (HB),217-932-5900,,"Pregnancy Tests, Ultrasound (Onsite)",IL,407 NW 3rd St,,,,,,62420
470,Champaign,United States,0,,,40.141466,-88.237333,,Living Alternatives Pregnancy Resource Center (HB),217-398-6511,,"Pregnancy Tests, Ultrasound (Onsite)",IL,205  E Wilbur Ave,,,,,,61822
471,Charleston,United States,0,,,39.499697,-88.185269,,Choices Pregnancy & Health (HB),217-345-5000,,"Pregnancy Tests, Ultrasound (Onsite)",IL,260 W. Locust Ave.,,,,,,61920
472,Chicago,United States,0,,,41.909165,-87.686315,,Aid for Women (HB),312-621-1100,,"Pregnancy Tests, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",IL,1510 N Claremont,,,,,,60622
473,Chicago,United States,0,,,41.881888,-87.624772,,"Aid for Women, Inc. (HB)",312-621-1100,,"Pregnancy Tests, Ultrasound (Onsite)",IL,"8 S Michigan Ave, Ste 812",,,,,,60603
474,Chicago,United States,0,,,41.974065,-87.748384,,The Women's Center (HB),773-794-1313,,"Pregnancy Tests, Ultrasound (Onsite)",IL,5116 N Cicero Ave,,,,,,60630
475,Chicago Heights,United States,0,,3pm-6pm,41.503843,-87.639151,Closed,PASS Pregnancy Care Center- Chicago Heights,(708) 614-9777,9am-12pm,"Abortion Information, Adoption Information, Housing Referrals, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men",IL,"30 E 15th St, Suite 201",Closed,Closed,Closed,https://passnetworkforlife.org/,Closed,60411
476,Cicero,United States,0,,,41.861594,-87.774450,,Aid for Women (HB),708-477-3040,,"Pregnancy Tests, Ultrasound (Onsite)",IL,1400 S Austin Blvd,,,,,,60804
477,Crete,United States,0,,,41.443234,-87.628186,,South Suburban Life Resource Center (HB),708-672-3978,,Pregnancy Tests,IL,418 Cass Street,,,,,,60417
478,Crystal Lake,United States,0,,8am-12pm,42.224573,-88.313666,1pm-5pm,Informed Choices Pregnancy & Parenting,(815) 455-0965,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",IL,610-1 Crystal Point Drive,Closed,12pm-8pm,9am-1pm,http://www.informedchoices.org/,9am-4pm,60014
479,Danville,United States,0,,8:30am-4:30pm,40.133315,-87.632787,8:30am-4:30pm,Women's Care Clinic,(217) 431-0987,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",IL,200 West Williams St,Closed,8:30am-4:30pm; 6-8pm,8:30am-4:30pm,http://danvillewcc.org/,8:30am-4:30pm,61832
480,Decatur,United States,0,,9am-3pm,39.877528,-88.934586,9am-8pm,New Life Pregnancy Center,(217) 872-5555,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite)",IL,1698 E. Pershing Road,Closed,9am-3pm,"9am-3pm, 6:30pm-8pm",http://www.newlifepregnancycenter.com,9am-3pm,62526
481,DeKalb,United States,0,We Care Pregnancy Clinic,10am-2pm,41.932464,-88.747206,6pm-9pm,We Care Pregnancy Clinic,(815) 748-4242,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite)",IL,403 North 5th,Closed,10am-2pm,10am-2pm,http://wecarepregnancyclinic.org,2pm-9pm,60115
482,Des Plaines,United States,0,,,42.066907,-87.897350,,Heather's House (Aid for Women) (HB),312-621-1100,,"Pregnancy Tests, Ultrasound (Onsite)",IL,1150 North River Rd,,,,,,60016
483,Des Plaines,United States,0,,,42.003411,-87.866518,,The Women's Center (HB),847-803-9620,,"Pregnancy Tests, Ultrasound (Onsite)",IL,"2720 S River Rd, #234",,,,,,60018
484,Effingham,United States,0,,,39.129039,-88.551164,,Family Life Center (HB),217-342-5433,,"Pregnancy Tests, Ultrasound (Onsite)",IL,605 Eden Ave,,,,,,62401
485,Elgin,United States,0,,10am-4pm,42.052007,-88.270996,10am-7pm,TLC Pregnancy Services,(847) 622-1235,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Mobile), Ultrasound (Onsite)",IL,825 Dundee Ave,Closed,10am-7pm,2pm-7pm,http://www.thinkimpregnant.com/services,12pm-5pm,60120
486,Elmhurst,United States,0,,Closed,41.903605,-87.940335,9:00am-5:00pm,Care Net Pregnancy Services of DuPage- Express Center,(630) 455-0300,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",IL,210 N York St Ste 103,Closed,9:00am-5:00pm,Closed,http://www.pregnanthelp.com,Closed,60126
487,Evergreen Park,United States,0,,,41.716047,-87.682306,,The Women's Center (HB),708-425-0707,,"Pregnancy Tests, Ultrasound (Onsite)",IL,"9730 S Western, Ste 318",,,,,,60805
488,Fairfield,United States,0,,,38.379867,-88.404275,,Compassion Pregnancy Center (HB),618-842-2525,,"Pregnancy Tests, Ultrasound (Onsite)",IL,2705 Andrews Dr,,,,,,62837
489,Freeport,United States,0,,Closed,42.297870,-89.623209,9am-3pm,Freeport Pregnancy Center,(815) 232-5433,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",IL,222 W Exchange St # 111,Closed,9am-3pm,9am-3pm,http://www.freeportpregnancycenter.org,9am-3pm,61032
490,Galesburg,United States,0,,,40.961835,-90.390563,,Women's Pregnancy Center (HB),309-343-4739,,Pregnancy Tests,IL,1252 W Fremont St,,,,,,61401
491,Glen Ellyn,United States,0,,9am-5pm,41.860271,-88.030332,Closed,Care Net Pregnancy Services of DuPage - Glen Ellyn,(630) 455-0300,8am-12pm,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",IL,"1200 Roosevelt Road, Suite 101",Closed,9am-5pm,9am-5pm,http://www.pregnanthelp.com/,9am-5pm,60137
492,Glen Ellyn,United States,0,,9am-5pm,41.860329,-88.030312,9am-5pm,Care Net Pregnancy Services of DuPage - Main Location,(630) 493-1340,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",IL,"1200 Roosevelt Rd, Suite 114",Closed,9am-5pm,9am-5pm,http://www.pregnanthelp.com/,9am-5pm,60137
493,Godfrey,United States,0,(618) 467-4447,11am-5pm,38.941876,-90.179343,11am-7pm,Thrive Metro East,(618) 466-1690,Closed,,IL,4854 North Alby Road,Closed,11am-5pm,11am-7pm,http://www.options-now.com/,Closed,62035
494,Grayslake,United States,0,,Closed,42.337872,-88.024783,10am-7pm,Informed Choices Pregnancy & Parenting,(847) 231-4651,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",IL,888 E. Belvidere Rd. Unit 124,Closed,10am-4pm,10am-4pm,http://www.informedchoices.org/,10am-7pm,60030
495,Highland,United States,0,,Closed,38.748942,-89.686505,9am-5pm,Relevant Pregnancy Options Center,(618) 654-3732,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound Referrals",IL,2653 Plaza Drive,Closed,9am-5pm,9am-5pm,http://www.relevantoptions.org,9am-5pm,62249
496,Jacksonville,United States,0,,,39.745825,-90.256247,,Pregnancy Resource Center - Jacksonville (HB),217-245-9340,,"Pregnancy Tests, Ultrasound (Onsite)",IL,1440 W Walnut  Suite A-3,,,,,,62651
497,Johnsburg,United States,0,,,42.382066,-88.237485,,1st Way Life Center (HB),815-385-2999,,"Pregnancy Tests, Ultrasound (Onsite)",IL,3714 Fairview Ave,,,,,,60051
498,Joliet,United States,0,,,41.524504,-88.134286,,Pregnancy Resource Center - Will County (HB),815-744-7755,,"Pregnancy Tests, Ultrasound (Onsite)",IL,2 Uno Circle Ste D,,,,,,60435
499,Kankakee,United States,0,,,41.119712,-87.889434,,Pregnancy Resource Center - Kankakee (HB),815-933-2207,,"Pregnancy Tests, Ultrasound (Onsite)",IL,1780 W Merchant,,,,,,60901
500,Lansing,United States,0,,Closed,41.565282,-87.541096,12pm-6pm,PASS Pregnancy Care Center - Lansing,(708) 418-5309,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",IL,3116 Ridge Road,Closed,Closed,12pm-8pm,https://passnetworkforlife.org/,Closed,60438
501,Lincoln,United States,0,,,40.153591,-89.367702,,Pregnancy Resource Center - Lincoln (HB),217-735-4838,,"Pregnancy Tests, Ultrasound (Onsite)",IL,308 N Union St,,,,,,62656
502,Litchfield,United States,0,,,39.178873,-89.655417,,Pregnancy Resource Center - Montgomery County (HB),217-532-2241,,"Pregnancy Tests, Ultrasound (Onsite)",IL,623 N State St,,,,,,62056
503,London Mills,United States,0,,,40.725611,-90.307315,,Woven2Gether Pregnancy Help Center (HB),(309) 981-9717,,"Pregnancy Tests, Ultrasound (Onsite)",IL,727 ILL Route 116,,,,,,61544
504,Mattoon,United States,0,,,39.483048,-88.365933,,Choices Pregnancy & Health (HB),217-234-3312,,"Pregnancy Tests, Ultrasound (Onsite)",IL,"105 North 10th St, Ste 3",,,,,,61938
505,Mendota,United States,0,,,41.558248,-89.116325,1pm-8pm,Abigail Women's Center (HB),815-538-3044,,"Parenting Education, Pregnancy Tests, Ultrasound (Onsite)",IL,1610 Stroble Ave,,10am-2pm,1pm-5pm,,1pm-5pm,61342
506,Metropolis,United States,0,,Closed,37.144702,-88.720758,8am-4pm,Hope Unlimited Family Care Center - Metropolis,(618) 524-5730,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound Referrals",IL,305 Lincoln St,Closed,8am-4pm,8am-4pm,http://www.hopeunlimitedfcc.org,8am-12pm,62960
507,Moline,United States,0,Pregnancy Resources,9am-5pm,41.503196,-90.516081,9am-8pm,Pregnancy Resources,(309) 797-3636,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Mobile), Ultrasound (Onsite)",IL,3825 16th St,Closed,9am-5pm,9am-5pm,http://www.qcpregnancy.org/,9am-5pm,61265
508,Mt. Carmel,United States,0,,Closed,38.354456,-87.863796,Closed,Hope Pregnancy & Resource Center,(618) 262-2636,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",IL,612 Market St.,Closed,10am-5pm,10am-5pm,http://www.hopepregnancyresource.org,10am-5pm,62863
509,Mt. Vernon,United States,0,,,38.316668,-88.902269,,Woman's Hope Center,(618) 242-4272,,"24-Hour Helpline, Abortion Information, Maternity & Infant Supplies, Medical Referrals, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests",IL,210 South 9th St,,2pm-5pm,2pm-5pm,http://womanshopecenter.com,,62864
510,Mundelein,United States,0,,,42.268497,-88.002907,,Pregnancy and Life Resources (HB),847-949-4443,,Pregnancy Tests,IL,"300 N Seymour Ave, Suite C",,,,,,60060
511,Naperville,United States,0,,9am-5pm,41.731468,-88.206932,9am-5pm,Care Net Pregnancy Services of DuPage - Naperville,(630) 455-0300,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",IL,"1301 S. Route 59, Ste. 103",Closed,9am-5pm,9am-5pm,http://www.pregnanthelp.com/,9am-5pm,60564
512,Normal,United States,0,,,40.515919,-88.955339,,Pregnancy Resource Center - Bloomington (HB),309-454-5433,,"Pregnancy Tests, Ultrasound (Onsite)",IL,303 Landmark Drive  Ste 1B,,,,,,61761
513,Oak Lawn,United States,0,,,41.726887,-87.740615,,Southside Pregnancy Center (HB),708-229-0092,,"Pregnancy Tests, Ultrasound (Onsite)",IL,9115 S Cicero Ave Fl 2,,,,,,60453
514,Paris,United States,0,,,39.612803,-87.684204,,Choices Pregnancy & Health (HB),217-463-7800,,"Pregnancy Tests, Ultrasound (Onsite)",IL,210 N High St,,,,,,61944
515,Peoria,United States,0,(309) 688-0952,9am-1pm,40.709712,-89.594402,9:30am-4:30pm,Women's Pregnancy Center,(309) 688-0202,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite)",IL,1825 N Knoxville Ave,Closed,9:30am-7pm,9:30am-7pm,http://www.peoriapregnancychoices.com,9:30am-4:30pm,61603
516,Pontiac,United States,0,,Closed,40.879508,-88.628643,10am-6pm,Hope Pregnancy Center,(815) 842-2484,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",IL,202 N. Main,Closed,9am-4pm,9am-4pm,http://pontiachopepc.com,closed,61764
517,Quincy,United States,0,(217) 223-4537,9am-4:30pm,39.926440,-91.403124,9am-4:30pm,Care Net Pregnancy Services of Quincy,(217) 223-8200,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",IL,802 State St,Closed,9am-4:30pm,9am-4:30pm,http://carenetquincy.com,9am-4:30pm,62301
518,Rock Falls,United States,0,,,41.773713,-89.702551,,Gianna's House Pregnancy Resource Center (HB),815-625-6520,,Pregnancy Tests,IL,700 10th Avenue,,,,,,61071
519,Rockford,United States,0,,,42.266969,-89.033427,,The Pregnancy Care Center of Rockford (HB),815-997-1200,,"Pregnancy Tests, STD/STI Tests, Ultrasound (Onsite)",IL,4108 Morsay Dr,,,,,,61107
520,Rushville,United States,0,,8:30am- 4:30pm,40.121511,-90.563753,8:30am- 4:30pm,Pregnancy Resource Center,(217) 322-2700,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite)",IL,213 W Washington St,Closed,8:30am- 4:30pm,8:30am-12:30pm,http://www.mypregnancyoptions.com,8:30am- 4:30pm,62681
521,Salem,United States,0,,,38.628800,-88.946362,,Pregnancy Care Clinic (HB),618-548-3111,,"Pregnancy Tests, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",IL,302 N Walnut,,,,,,62881
522,Schaumburg,United States,0,(224) 856-2088,9am-4pm,42.024220,-88.079454,9am-5pm,TLC Pregnancy Services- Schaumburg,(630) 339-3660,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Mobile), Ultrasound (Onsite)",IL,"127 S. Roselle Rd, Ste 103",Closed,9am-5pm,12pm-4pm,http://www.thinkimpregnant.com/,9am-5pm,60193
523,Shelbyville,United States,0,,,39.405736,-88.791529,,Pregnancy Resource Center - Shelbyville (HB),217-774-4874,,"Pregnancy Tests, Ultrasound (Onsite)",IL,225 E South 1st St,,,,,,62565
524,South Elgin,United States,0,,,41.994102,-88.292830,,Corbella Clinic (HB),847-697-0200,,"Pregnancy Tests, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",IL,101 E State St,,,,,,60177
525,South Holland,United States,0,(708) 614-7536,12pm-8pm,41.600469,-87.601237,10am-5pm; 6pm-9pm,PASS Pregnancy Care Center - South Holland,(708) 614-9777,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",IL,613 E. 162nd St.,Closed,10am-8pm,10am-8pm,https://passnetworkforlife.org/,10am-5pm; 6pm-9pm,60473
